regions,iso3,name,forest area 2025,boreal,temperate,tropical,subtropical,1990,2000,2010,2015,2020,2025,1a_forestArea
"Europe","DEU","Germany","11481.40","0","100","0","0","11300.00","11354.00","11409.00","11433.40","11457.40","11481.40",
"Africa","DJI","Djibouti","5.93","0","0","100","0","5.60","5.60","5.60","5.65","5.88","5.93",
"North and Central America","DMA","Dominica","57.35","0","0","100","0","58.83","58.55","58.36","57.80","57.57","57.35",
"Europe","DNK","Denmark","642.56","0","100","0","0","531.44","571.60","586.34","624.26","632.71","642.56",
"North and Central America","DOM","Dominican Republic","2257.46","0","0","100","0","2132.15","2165.80","2186.28","2214.83","2224.35","2257.46",
"Africa","DZA","Algeria","1691.36","0","0","0","100","1714.96","1708.22","1701.47","1698.10","1694.73","1691.36",
"South America","ECU","Ecuador","12310.32","0","0","100","0","14632.21","13730.50","13028.37","12819.20","12461.09","12310.32",
"Africa","EGY","Egypt","4.11","0","0","18","82","3.91","3.91","4.08","4.08","4.08","4.11",
"Africa","ERI","Eritrea","1442.02","0","0","100","0","1651.31","1591.51","1531.72","1501.82","1471.92","1442.02",
"Africa","ESH","Western Sahara","529.22","0","0","100","0","605.45","539.54","537.23","539.50","533.21","529.22",
"Europe","ESP","Spain","19132.78","0","32","0","68","13904.66","17093.93","18566.19","18575.35","18982.06","19132.78",
"Europe","EST","Estonia","2446.75","0","100","0","0","2205.90","2238.89","2336.02","2421.42","2443.87","2446.75",
"Africa","ETH","Ethiopia","26747.10","0","0","100","0","28537.50","27809.40","27081.40","26786.20","26766.70","26747.10",
"Europe","FIN","Finland","22543.00","97.40","2.60","0.00","0.00","21875.33","22445.64","22242.00","22409.00","22543.00","22543.00",
"Oceania","FJI","Fiji","1136.60","0","0","100","0","939.69","1006.47","1067.11","1090.28","1113.44","1136.60",
"South America","FLK","Falkland Islands (Malvinas)","0.00","0","100","0","0","0.00","0.00","0.00","0.00","0.00","0.00",
"Europe","FRA","France","17795.00","0.00","100.00","0.00","0.00","14436.00","15288.00","16419.00","16836.00","17348.00","17795.00",
"Europe","FRO","Faroe Islands","0.08","100","0","0","0","0.08","0.08","0.08","0.08","0.08","0.08",
"Oceania","FSM","Micronesia (Federated States of)","64.57","0","0","100","0","63.58","63.86","64.13","64.27","64.42","64.57",
"Africa","GAB","Gabon","23555.31","0","0","100","0","23774.23","23701.62","23683.26","23622.63","23588.97","23555.31",
"Europe","GBR","United Kingdom of Great Britain and Northern Ireland","3278.00","14","86","0","0","2778.00","2954.00","3059.00","3155.00","3215.00","3278.00",
"Asia","GEO","Georgia","3100.50","0","62","0","38","3030.40","3038.70","3100.50","3100.50","3100.50","3100.50",
"Europe","GGY","Guernsey","0.47","0","100","0","0","0.22","0.22","0.37","0.42","0.47","0.47",
"Africa","GHA","Ghana","7056.36","0","0","100","0","5806.16","6163.36","6520.56","6699.16","6877.76","7056.36",
"Europe","GIB","Gibraltar","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Africa","GIN","Guinea","4857.31","0","0","100","0","7202.21","6532.24","5862.27","5527.28","5192.30","4857.31",
"North and Central America","GLP","Guadeloupe","75.60","0","0","100","0","73.17","72.27","71.55","72.90","74.25","75.60",
"Africa","GMB","Gambia","209.47","0","0","100","0","414.73","357.87","300.00","271.07","242.14","209.47",
"Africa","GNB","Guinea-Bissau","2099.59","0","0","100","0","2257.39","2207.12","2163.16","2141.97","2120.78","2099.59",
"Africa","GNQ","Equatorial Guinea","2406.62","0","0","100","0","2699.15","2615.58","2532.58","2490.22","2448.42","2406.62",
"Europe","GRC","Greece","4762.80","0","11","0","89","3708.90","3708.90","3720.80","4098.00","4762.80","4762.80",
"North and Central America","GRD","Grenada","17.70","0","0","100","0","17.70","17.70","17.70","17.70","17.70","17.70",
"North and Central America","GRL","Greenland","0.22","0.00","0","0","0","0.22","0.22","0.22","0.22","0.22","0.22",
"North and Central America","GTM","Guatemala","3535.65","0","0","100","0","4852.41","4226.66","3755.85","3671.23","3601.60","3535.65",
"South America","GUF","French Guiana","7981.95","0","0","100","0","8125.00","8079.44","8036.50","8020.00","8002.85","7981.95",
"Oceania","GUM","Guam","28.27","0","0","100","0","24.00","24.00","24.00","28.27","28.27","28.27",
"South America","GUY","Guyana","18377.19","0","0","100","0","18602.15","18564.22","18519.81","18461.36","18415.34","18377.19",
"North and Central America","HND","Honduras","5861.33","0","0","100","0","7644.21","7129.47","6744.69","6527.00","6112.43","5861.33",
"Europe","HRV","Croatia","1946.20","0.00","86.60","0.00","13.40","1850.00","1885.00","1920.00","1922.00","1939.60","1946.20",
"North and Central America","HTI","Haiti","372.10","0","0","100","0","369.20","384.20","380.20","364.30","365.10","372.10",
"Europe","HUN","Hungary","2087.37","0","100","0","0","1813.90","1921.17","2046.39","2060.82","2057.00","2087.37",
"Asia","IDN","Indonesia","95969.30","0.00","0.00","100.00","0.00","116334.50","91958.60","96305.20","95027.90","95561.90","95969.30",
"Europe","IMN","Isle of Man","3.67","0","100","0","0","3.63","3.63","3.63","3.63","3.67","3.67",
"Asia","IND","India","72739.00","0.00","12.53","80.16","7.31","63938.00","67591.00","69496.00","70828.00","72309.00","72739.00",
"Europe","IRL","Ireland","832.85","0","100","0","0","461.64","630.36","720.38","754.67","793.32","832.85",
"Asia","IRN","Iran (Islamic Republic of)","10751.00","0","4","0","96","10751.00","10751.00","10751.00","10751.00","10751.00","10751.00",
"Asia","IRQ","Iraq","692.55","0","0","0","100","803.50","817.62","804.30","758.61","725.57","692.55",
"Europe","ISL","Iceland","61.48","100.00","0.00","0.00","0.00","17.93","32.22","48.74","53.23","56.66","61.48",
"Asia","ISR","Israel","150.00","0","0","1","99","132.00","153.00","154.00","165.00","140.00","150.00",
"Europe","ITA","Italy","9421.96","0","32","0","68","7589.75","8369.25","9028.04","8907.00","9359.51","9421.96",
"North and Central America","JAM","Jamaica","616.31","0","0","100","0","521.28","521.01","558.45","577.45","596.88","616.31",
"Europe","JEY","Jersey","0.68","0","100","0","0","0.60","0.60","0.60","0.60","0.67","0.68",
"Asia","JOR","Jordan","70.70","0","0","0","100","70.70","70.70","70.70","70.70","70.70","70.70",
"Asia","JPN","Japan","24908.00","18.00","81.00","0.00","1.00","24950.00","24876.00","24966.00","24944.00","24919.00","24908.00",
"Asia","KAZ","Kazakhstan","3520.51","12","88","0","0","3162.24","3156.93","3082.18","3308.46","3451.01","3520.51",
"Africa","KEN","Kenya","3913.81","0","0","100","0","3740.60","3816.21","3878.47","3383.88","3591.46","3913.81",
"Asia","KGZ","Kyrgyzstan","1255.48","20.40","75.10","0.00","4.50","1136.42","1180.90","1226.84","1246.94","1255.16","1255.48",
"Asia","KHM","Cambodia","6333.17","0","0","100","0","11004.79","10781.00","10589.23","8846.82","7876.84","6333.17",
"Oceania","KIR","Kiribati","1.07","0","0","100","0","1.07","1.07","1.07","1.07","1.07","1.07",
"North and Central America","KNA","Saint Kitts and Nevis","11.00","0","0","100","0","11.00","11.00","11.00","11.00","11.00","11.00",
"Asia","KOR","Republic of Korea","6279.13","0","88","0","12","6551.00","6476.00","6387.00","6337.00","6298.00","6279.13",
"Asia","KWT","Kuwait","6.30","0","0","0","100","3.45","4.99","5.39","6.09","6.30","6.30",
"Asia","LAO","Lao People's Democratic Republic","13036.04","0","0","100","0","14399.28","14050.04","13660.59","13369.40","13212.71","13036.04",
"Asia","LBN","Lebanon","141.32","0","0","0","100","137.92","138.89","139.87","140.36","140.84","141.32",
"Africa","LBR","Liberia","6326.52","0","0","100","0","8008.76","8008.76","7619.78","7036.57","6529.42","6326.52",
"Africa","LBY","Libya","205.33","0","0","0","100","217.00","213.67","210.34","208.67","207.00","205.33",
