iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
ECU,2020,30,45998.44447407748,1160.4139633815366,4815.0,4812.5,94565.02952618677,12461.09,12461090.0,-55954.26840884984,FRA2025_PCHIP,0.025227243587236745,0.8220721275090833,12440.3263747814,9.84
ECU,2021,30,29689.375263771042,886.8554393479892,4473.0,4470.5,94565.02952618677,12419.755481414872,12419755.481414871,-41334.51858512685,FRA2025_PCHIP,0.029871138461784658,0.7182707402924488,12440.3263747814,9.84
ECU,2022,30,50488.02700849857,1089.8206053179383,4101.5,4099.5,94565.02952618677,12381.98371659173,12381983.71659173,-37771.76482314244,FRA2025_PCHIP,0.021585723782283878,1.3366605252599948,12440.3263747814,9.84
ECU,2023,30,39421.252664245665,819.4794492294598,4333.0,4330.5,94565.02952618677,12349.802211061156,12349802.211061155,-32181.50553057529,FRA2025_PCHIP,0.020787757715591625,1.224966079563679,12440.3263747814,9.84
GUY,2015,30,12949.461304517878,120.11321247438576,1918.0,1918.0,11358.372970178127,18461.36,18461360.0,,FRA2025_PCHIP,0.0092755373872178,,14804.26247676465,22.69
GUY,2016,30,25931.225836954956,340.24522309920224,4005.0,4005.0,11358.372970178127,18451.317438506325,18451317.438506324,-10042.561493676156,FRA2025_PCHIP,0.013121062044599294,2.582132641486334,15690.236020964461,21.522000000000002
GUY,2017,30,19264.085530415454,248.16562147170856,2788.5,2788.5,11358.372970178127,18441.75044267508,18441750.442675084,-9566.995831239969,FRA2025_PCHIP,0.01288229441672109,2.013598194274394,16576.20956516427,20.354
GUY,2018,30,11591.050404830534,206.11478908945315,1961.0,1960.0,11358.372970178127,18432.602727590685,18432602.727590684,-9147.715084400028,FRA2025_PCHIP,0.01778223559476158,1.267097881589822,17462.18310936408,19.186
GUY,2019,30,21885.189960513293,247.81661671950943,3211.0,3209.0,11358.372970178127,18423.818008337523,18423818.008337524,-8784.71925316006,FRA2025_PCHIP,0.011323484839137176,2.491279382962717,18348.156653563892,18.018
GUY,2020,30,15465.968784222412,240.18862596916543,3400.0,3398.0,11358.372970178127,18415.34,18415340.0,-8478.008337523788,FRA2025_PCHIP,0.015530137770237422,1.8242455266020214,19234.1301977637,16.85
GUY,2021,30,9426.657483213778,80.54485628381349,1844.0,1843.0,11358.372970178127,18407.12749470833,18407127.49470833,-8212.50529167056,FRA2025_PCHIP,0.008544370730265866,1.1478418763120501,19234.1301977637,16.85
GUY,2022,30,10459.367657033996,236.21498810378245,772.5,772.5,11358.372970178127,18399.18858154687,18399188.58154687,-7938.91316146031,FRA2025_PCHIP,0.022584060131486654,1.3174810511606685,19234.1301977637,16.85
GUY,2023,30,27197.90556007294,272.0596621545535,3051.5,3051.0,11358.372970178127,18391.540921031243,18391540.921031244,-7647.66051562503,FRA2025_PCHIP,0.010002963704453126,3.5563693634811018,19234.1301977637,16.85
PER,2015,30,163628.39152158337,4319.868116818825,24308.0,24301.5,186412.33730856387,69554.46,69554460.0,,FRA2025_PCHIP,0.026400480238473856,,12834.308989645851,7.265000000000001
PER,2016,30,227033.10508538238,5804.349623142763,52932.0,52911.5,186412.33730856387,69353.30558000051,69353305.5800005,-201154.41999949515,FRA2025_PCHIP,0.02556609363625569,1.128650839916678,12989.36718390858,7.352
PER,2017,30,297458.8769437795,9047.052678330758,48744.5,48721.0,186412.33730856387,69184.47979000024,69184479.79000024,-168825.79000025988,FRA2025_PCHIP,0.03041446525746372,1.7619279432563095,13144.42537817131,7.439
PER,2018,30,207806.6955698502,4548.982993927059,41790.5,41776.0,186412.33730856387,69026.43020999974,69026430.20999974,-158049.58000050485,FRA2025_PCHIP,0.021890454402601317,1.314819663356185,13299.483572434041,7.526
PER,2019,30,226476.10897476022,5917.786373504522,46615.5,46600.5,186412.33730856387,68857.6044199995,68857604.4199995,-168825.79000024498,FRA2025_PCHIP,0.026129848310684434,1.3414781531567634,13454.54176669677,7.613
PER,2020,30,273306.0646634953,6535.120105314811,56965.5,56944.5,186412.33730856387,68656.45,68656450.0,-201154.41999949515,FRA2025_PCHIP,0.023911361474400858,1.3586878412325278,13609.5999609595,7.7
PER,2021,30,220702.56868828312,5250.396862526495,56248.0,56223.0,186412.33730856387,68414.58536000067,68414585.36000067,-241864.63999933004,FRA2025_PCHIP,0.023789468757575153,0.9125044846939778,13609.5999609595,7.7
PER,2022,30,232516.14343706222,4793.580519841971,52467.0,52439.5,186412.33730856387,68140.39193000074,68140391.93000074,-274193.42999993265,FRA2025_PCHIP,0.020616119160515426,0.8480004186720277,13609.5999609595,7.7
PER,2023,30,223732.2336537855,4234.718634031296,56362.0,56337.0,186412.33730856387,67837.46182000049,67837461.82000048,-302930.1100002527,FRA2025_PCHIP,0.018927619703579736,0.7385605665069043,13609.5999609595,7.7
PRY,2015,30,278765.26631407574,1847.5928706638322,155.5,155.5,61959.06716150047,16369.67,16369670.0,,FRA2025_PCHIP,0.006627772875341684,,13865.118590139951,11.870000000000001
PRY,2016,30,318468.9838267542,3457.960070335394,343.0,343.0,61959.06716150047,16083.095560380738,16083095.560380738,-286574.4396192618,FRA2025_PCHIP,0.010858074870539072,1.1112958442834853,14090.42699613384,11.642
