iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
ARG,2018,30,171856.47024200478,725.4188287789218,50329.0,50298.0,627940.5031489173,47857.53430142322,47857534.30142322,-184106.55973426253,FRA2025_PCHIP,0.004221073712019115,0.9334619607799994,24712.92591663524,6.514
ARG,2018,50,111669.09370313879,675.328920374395,33651.5,33629.5,627940.5031489173,47857.53430142322,47857534.30142322,-184106.55973426253,FRA2025_PCHIP,0.006047590232707449,0.6065459800254852,24712.92591663524,6.514
ARG,2019,10,150041.14284214046,1093.5073073632582,54541.5,54515.0,627940.5031489173,47677.377161125965,47677377.161125965,-180157.1402972564,FRA2025_PCHIP,0.007288049708563913,0.8328348384891932,24295.00952856037,6.437
ARG,2019,30,144626.01499342924,1048.272853019749,49060.5,49036.5,627940.5031489173,47677.377161125965,47677377.161125965,-180157.1402972564,FRA2025_PCHIP,0.007248162462800174,0.8027770353969796,24295.00952856037,6.437
ARG,2019,50,97264.23148960128,957.4521889807218,32881.5,32864.0,627940.5031489173,47677.377161125965,47677377.161125965,-180157.1402972564,FRA2025_PCHIP,0.009843826186845315,0.5398855206577816,24295.00952856037,6.437
ARG,2020,10,209225.77239422416,1850.1304916778022,107424.0,107371.0,627940.5031489173,47495.59,47495590.0,-181787.16112596545,FRA2025_PCHIP,0.00884274662010461,1.1509381141017199,23877.0931404855,6.36
ARG,2020,30,199259.05108904964,1769.6402627521638,94346.0,94300.5,627940.5031489173,47495.59,47495590.0,-181787.16112596545,FRA2025_PCHIP,0.008881103533717547,1.096111792795848,23877.0931404855,6.36
ARG,2020,50,133394.3334677949,1643.8315443004399,64192.0,64160.0,627940.5031489173,47495.59,47495590.0,-181787.16112596545,FRA2025_PCHIP,0.012323098752146818,0.7337940294659324,23877.0931404855,6.36
ARG,2021,10,210187.02815888857,1617.5376047177908,110694.5,110637.5,627940.5031489173,47312.09440962416,47312094.40962416,-183495.59037584063,FRA2025_PCHIP,0.0076957061474556415,1.1454609221310321,23877.0931404855,6.36
ARG,2021,30,200010.79528917198,1302.1818445126787,96889.5,96839.5,627940.5031489173,47312.09440962416,47312094.40962416,-183495.59037584063,FRA2025_PCHIP,0.006510557805792472,1.0900032795311563,23877.0931404855,6.36
