iso3,year,forest_area_kha,forest_area_ha,net_change_ha,fao_source
PER,2022,68140.39193000074,68140391.93000074,-274193.42999993265,FRA2025_PCHIP
PER,2023,67837.46182000049,67837461.82000048,-302930.1100002527,FRA2025_PCHIP
PRY,2015,16369.67,16369670.0,,FRA2025_PCHIP
PRY,2016,16083.095560380738,16083095.560380738,-286574.4396192618,FRA2025_PCHIP
PRY,2017,15812.073963868308,15812073.963868309,-271021.5965124294,FRA2025_PCHIP
PRY,2018,15558.96658716551,15558966.58716551,-253107.37670279853,FRA2025_PCHIP
PRY,2019,15326.134806975142,15326134.806975141,-232831.7801903691,FRA2025_PCHIP
PRY,2020,15115.94,15115940.0,-210194.80697514117,FRA2025_PCHIP
PRY,2021,14923.264435328045,14923264.435328044,-192675.564671956,FRA2025_PCHIP
PRY,2022,14742.87833974405,14742878.33974405,-180386.09558399394,FRA2025_PCHIP
PRY,2023,14576.975026496033,14576975.026496032,-165903.3132480178,FRA2025_PCHIP
SUR,2015,14838.61,14838610.0,,FRA2025_PCHIP
SUR,2016,14829.061015340849,14829061.01534085,-9548.984659150243,FRA2025_PCHIP
SUR,2017,14815.549596975321,14815549.596975321,-13511.418365528807,FRA2025_PCHIP
SUR,2018,14799.49767093937,14799497.670939371,-16051.92603594996,FRA2025_PCHIP
SUR,2019,14782.327163268943,14782327.163268942,-17170.507670428604,FRA2025_PCHIP
SUR,2020,14765.46,14765460.0,-16867.163268942386,FRA2025_PCHIP
SUR,2021,14748.78446993735,14748784.46993735,-16675.5300626494,FRA2025_PCHIP
SUR,2022,14731.27282867952,14731272.82867952,-17511.641257829964,FRA2025_PCHIP
SUR,2023,14712.972952453014,14712972.952453014,-18299.876226507127,FRA2025_PCHIP
URY,2015,1834.39,1834390.0,,FRA2025_PCHIP
URY,2016,1856.172233752349,1856172.233752349,21782.233752348926,FRA2025_PCHIP
URY,2017,1876.1571995543788,1876157.1995543789,19984.96580202994,FRA2025_PCHIP
URY,2018,1895.0150484802343,1895015.0484802343,18857.848925855476,FRA2025_PCHIP
URY,2019,1913.4159316040596,1913415.9316040596,18400.883123825304,FRA2025_PCHIP
URY,2020,1932.03,1932030.0,18614.068395940354,FRA2025_PCHIP
URY,2021,1950.866748622963,1950866.748622963,18836.748622962972,FRA2025_PCHIP
URY,2022,1969.4861922008333,1969486.1922008332,18619.44357787026,FRA2025_PCHIP
URY,2023,1987.8842614672221,1987884.2614672221,18398.06926638889,FRA2025_PCHIP
VEN,2015,47879.23,47879230.0,,FRA2025_PCHIP
VEN,2016,47766.53347367313,47766533.47367313,-112696.52632687241,FRA2025_PCHIP
VEN,2017,47644.841892340366,47644841.89234037,-121691.58133275807,FRA2025_PCHIP
VEN,2018,47525.04557417102,47525045.574171014,-119796.31816935539,FRA2025_PCHIP
VEN,2019,47418.034837334446,47418034.83733445,-107010.73683656752,FRA2025_PCHIP
VEN,2020,47334.7,47334700.0,-83334.83733444661,FRA2025_PCHIP
VEN,2021,47268.75101982275,47268751.01982275,-65948.98017725348,FRA2025_PCHIP
VEN,2022,47208.4347973006,47208434.7973006,-60316.222522147,FRA2025_PCHIP
VEN,2023,47156.44706486706,47156447.064867064,-51987.73243353516,FRA2025_PCHIP
